company_id,company_name,broad_sector,metric,metric_value,sector_mean,sector_std,z_score
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,return_on_equity_pct,892.57,86.72,232.1,3.47
PNB,Punjab National Bank,Financials,return_on_equity_pct,61.32,19.01,13.02,3.25
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,return_on_capital_employed_pct,1112.55,102.62,290.85,3.47
PNB,Punjab National Bank,Financials,return_on_capital_employed_pct,553.77,63.58,111.58,4.39
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,net_profit_margin_pct,432.73,38.24,87.71,4.5
ADANIGREEN,Adani Green Energy Ltd,Energy,debt_to_equity,6.6,1.46,1.63,3.14
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,interest_coverage,3764.5,349.41,951.61,3.59
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,asset_turnover,56.39,5.16,14.75,3.47
PNB,Punjab National Bank,Financials,asset_turnover,1.51,0.2,0.31,4.23
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,free_cash_flow_cr,45133.0,4444.14,12601.4,3.23
